H2O                                     
   1.00000000000000     
  0.589631  0.101487  0.753098
  0.632167  0.215781  0.808516
  0.219336  0.607939  0.234090
  0.314244  0.625948  0.322097
  0.206225  0.351938  0.160583
  0.138157  0.429563  0.079261
  0.603117  0.925623  0.632017
  0.632633  0.770038  0.964235
  0.079544  0.582951  0.994131
  0.212949  0.554501  0.995077
  0.868884  0.657447  0.224137
  0.926457  0.669279  0.356094
  0.539720  0.418579  0.609633
  0.537820  0.454006  0.740030
  0.662785  0.908558  0.983884
  0.767188  0.748238  0.109480
  0.762274  0.048996  0.613890
  0.838481  0.112526  0.528766
  0.490879  0.238532  0.175085
  0.397459  0.243756  0.083209
  0.207014  0.838678  0.619455
 
  14  14  14
0  4.19876  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  4  
3.67407  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  3.49113  0  0  0  
0  3.97505  4.02208  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
4.10176  4.08297  0  0  0  
0  3  3.0529  0  0  
0  0  0  0  0  
0  0  0  0  3.69007  
3  0  0  0  0  
0  0  0  4  4  
0  0  3  0  0  
0  0  4.0237  0  0  
0  0  4  0  0  
0  0  0  4  0  
0  0  0  0  0  
0  0  0  4  0  
0  0  0  0  0  
0  0  0  0  4  
0  0  0  0  0  
0  0  0  0  0  
0  0  3.8  0  0  
0  0  0  0  0  
0  0  0  0  0  
4  0  0  0  0  0  4  3.26794  3.15094  
0  0  0  0  0  
3.2191  3.08457  3.424  0  0  
0  0  0  4.05435  0  
0  0  0  0  0  
3  0  0  0  0  
4.02479  3.50177  0  0  0  
4  0  0  0  0  
4  3.55889  3.28061  4  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  3  0  0  
0  4.67546  5  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  3.5361  
0  0  0  4  0  
0  0  0  0  0  
0  0  3  0  0  
0  4  4  0  0  
0  3.98054  3.8125  0  4  
0  0  0  0  0  
0  0  0  0  0  
0  0  4  0  0  
0  0  0  0  3.29747  
0  0  0  0  0  
0  4  0  0  0  0  3.82789  4  0  
0  0  0  0  0  
4  4  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
4  4  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  4  0  
0  0  0  0  0  
0  0  0  0  0  
5  4.11927  0  0  0  
0  0  0  0  0  
0  0  5  0  0  
0  4  4.16769  0  0  
0  0  0  0  0  
0  0  0  0  0  
3.95107  0  0  0  0  
4  0  0  0  0  
0  0  0  0  0  
0  0  0  3.62793  4  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  4  3.97589  0  0  
0  0  0  0  0  
0  0  3.05483  0  0  
0  0  0  0  0  
0  0  0  4.15628  3.5486  
0  0  0  0  0  
0  4  0  0  0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  3.39871  0  0  
0  0  5  0  0  
0  0  0  0  0  
0  0  0  0  0  
4  0  0  0  0  
0  0  4.16007  4  0  
0  0  0  0  0  
0  4  3.8399  0  4  
4  4  0  0  0  
0  0  4  0  0  
0  0  4  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  3  3.20578  0  0  
3.59982  0  3.62857  0  0  
0  0  0  0  4  
4.1154  0  0  4  0  
0  0  4  4  0  
0  0  0  0  0  
0  0  0  0  4  
0  0  0  0  0  
0  0  0  0  4  
0  0  0  0  0  
0  0  3.30178  3.68534  0  
0  0  0  0  0  
0  0  0  0  0  
0  4  0  0  0  
0  0  0  0  0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
3.87279  3.72397  0  0  0  
0  0  3.74928  3.45411  0  
0  0  3.93661  0  4  
0  0  0  0  0  
0  0  0  0  4  
4.00098  0  0  0  0  
0  0  0  0  0  
4  0  4  4  0  
0  4  3.9262  0  0  
0  0  4  0  0  
0  0  3.97411  0  0  
0  0  0  0  0  
4  3.96993  0  0  0  
4  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  4  3.67238  0  0  
0  0  0  0  4  
4  0  0  0  0  
4  0  4  4  0  
0  0  4  0  0  
0  4  0  0  4  
0  0  0  0  0  
0  0  0  4  3.81124  
0  0  0  0  0  
0  0  0  4  0  
0  0  0  0  4  
3.70674  3  0  0  0  
0  4  0  3.87765  0  
0  0  4  0  0  0  0  0  0  
0  0  0  5  4.45238  
0  0  0  0  0  
0  0  0  0  0  
0  5  0  0  0  
0  0  0  0  0  
0  0  0  0  4  
0  5  0  0  0  
0  0  4.3  3.62563  0  
0  0  0  0  5  
0  0  0  0  0  
4  4  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  4  0  0  0  
0  4  0  0  0  
0  0  0  0  0  
0  0  0  0  4  
4  4.45532  4.07786  0  0  
0  0  0  0  0  
0  0  0  0  0  
4  0  3.72254  0  4  
0  0  0  3  0  
0  0  0  0  4  
3.60289  0  0  0  0  
3  3  0  0  0  
0  0  0  3.89451  0  
0  0  0  0  0  0  0  0  0  
0  0  0  0  0  
0  3  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  4  0  0  0  
0  0  0  0  0  
4  4.44774  0  4  3.93083  
0  0  0  0  0  
0  0  0  4  4.7463  
5  4  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  3.28941  4  0  
0  0  0  0  0  
0  0  0  0  0  
3.21725  4  0  4.31145  0  
0  0  0  0  0  
0  0  0  3  0  
4  4.17069  0  0  0  
0  4  0  0  0  
0  0  0  0  0  
0  0  0  0  4  
0  4.1  4  0  0  
0  0  3.73339  0  0  
0  0  0  0  0  
0  0  4  0  0  
0  0  0  0  0  
0  0  0  0  0  
3.80789  0  0  0  4  
0  0  0  0  0  
0  0  0  4  0  
0  3.34579  3.56532  0  0  0  0  0  0  
0  3.05128  0  0  0  
0  0  0  0  0  
0  0  0  0  4.08269  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  0  
0  0  0  0  4  
4  0  0  4.50169  0  
0  0  0  0  0  
0  4  0  0  0  
0  4.0168  4.2939  0  0  
0  0  0  0  0  
3.41144  3.20468  0  0  0  
0  0  4  4  0  
0  0  0  0  0  
